Video Name,Truth / Lie (0 / 1),Race (W / B / A / H / O),Gender (F / M)
trial_truth_001,0,W,F
trial_truth_002,0,W,F
trial_truth_003,0,W,F
trial_truth_004,0,W,F
trial_truth_005,0,W,F
trial_truth_006,0,W,F
trial_truth_007,0,W,F
trial_truth_008,0,W,M
trial_truth_009,0,W,M
trial_truth_010,0,W,M
trial_truth_011,0,W,M
trial_truth_012,0,W,M
trial_truth_013,0,W,M
trial_truth_014,0,W,M
trial_truth_015,0,W,M
trial_truth_016,0,H,M
trial_truth_017,0,H,M
trial_truth_018,0,H,M
trial_truth_019,0,H,M
trial_truth_020,0,W,M
trial_truth_021,0,W,M
trial_truth_022,0,B,M
trial_truth_023,0,B,M
trial_truth_024,0,W,M
trial_truth_025,0,W,M
trial_truth_026,0,B,F
trial_truth_027,0,W,F
trial_truth_028,0,W,F
trial_truth_029,0,W,F
trial_truth_030,0,W,M
trial_truth_031,0,W,F
trial_truth_032,0,W,M
trial_truth_033,0,W,F
trial_truth_034,0,W,F
trial_truth_035,0,W,M
trial_truth_036,0,W,M
trial_truth_037,0,B,F
trial_truth_038,0,W,M
trial_truth_039,0,W,F
trial_truth_040,0,B,M
trial_truth_041,0,W,M
trial_truth_042,0,W,M
trial_truth_043,0,W,M
trial_truth_044,0,W,M
trial_truth_045,0,W,F
trial_truth_046,0,W,M
trial_truth_047,0,W,M
trial_truth_048,0,H,M
trial_truth_049,0,W,M
trial_truth_050,0,B,M
trial_truth_051,0,W,F
trial_truth_052,0,W,F
trial_truth_053,0,B,F
trial_truth_054,0,W,F
trial_truth_055,0,W,F
trial_truth_056,0,W,F
trial_truth_057,0,W,F
trial_truth_058,0,W,F
trial_truth_059,0,W,F
trial_truth_060,0,B,F
trial_lie_001,1,W,F
trial_lie_002,1,W,F
trial_lie_003,1,W,F
trial_lie_004,1,W,F
trial_lie_005,1,W,F
trial_lie_006,1,W,F
trial_lie_007,1,W,F
trial_lie_008,1,W,F
trial_lie_009,1,W,F
trial_lie_010,1,W,F
trial_lie_011,1,W,F
trial_lie_012,1,W,F
trial_lie_013,1,W,F
trial_lie_014,1,W,F
trial_lie_015,1,W,F
trial_lie_016,1,W,F
trial_lie_017,1,W,F
trial_lie_018,1,W,F
trial_lie_019,1,W,F
trial_lie_020,1,W,F
trial_lie_021,1,W,F
trial_lie_022,1,W,F
trial_lie_023,1,W,F
trial_lie_024,1,W,F
trial_lie_025,1,W,F
trial_lie_026,1,W,F
trial_lie_027,1,W,F
trial_lie_028,1,W,F
trial_lie_029,1,W,F
trial_lie_030,1,W,F
trial_lie_031,1,W,F
trial_lie_032,1,W,F
trial_lie_033,1,B,M
trial_lie_034,1,W,F
trial_lie_035,1,B,F
trial_lie_036,1,W,F
trial_lie_037,1,B,F
trial_lie_038,1,B,F
trial_lie_039,1,B,F
trial_lie_040,1,B,F
trial_lie_041,1,W,M
trial_lie_042,1,W,M
trial_lie_043,1,W,M
trial_lie_044,1,W,M
trial_lie_045,1,W,M
trial_lie_046,1,W,F
trial_lie_047,1,W,F
trial_lie_048,1,W,F
trial_lie_049,1,W,F
trial_lie_050,1,W,M
trial_lie_051,1,W,M
trial_lie_052,1,W,M
trial_lie_053,1,W,M
trial_lie_054,1,W,F
trial_lie_055,1,W,F
trial_lie_056,1,W,F
trial_lie_057,1,W,F
trial_lie_058,1,W,M
trial_lie_059,1,W,M
trial_lie_060,1,W,M
trial_lie_061,1,W,M